Country,Created_Date,Estimated_Yearly_Earning,Subscribe_Rank,Subscribers,Type,Uploads,Username,Views,Views_Rank
,"Sep 24th, 2013","
$0 - $0 ",1,"104,768,758",,0,Music,0,"23,714,445th"
IN,"Sep 2nd, 2009","
$1M - $16.5M ",53,"22,971,470",Music,"2,387",Sony Music India,"8,987,413,632",81st
,"Mar 15th, 2017","
$510.4K - $8.2M ",52,"23,114,062",Howto,"2,151",BRIGHT SIDE,"4,163,275,981",289th
GB,"Dec 4th, 2010","
$162.6K - $2.6M ",50,"23,225,205",Music,171,OneDirectionVEVO,"8,561,516,329",88th
MX,"Sep 20th, 2009","
$39K - $623.5K ",49,"23,360,745",Howto,589,Yuya,"2,364,361,881",683rd
US,"Mar 9th, 2006","
$13.3K - $212.2K ",48,"23,648,223",Music,152,Maroon 5,"224,414,173","12,047th"
US,"Sep 19th, 2006","
$335.6K - $5.4M ",47,"23,883,800",Music,67,Bruno Mars,"10,255,213,402",63rd
US,"Feb 25th, 2014","
$635 - $10.2K ",46,"23,920,502",Entertainment,73,Luis Fonsi,"16,038,996","171,117th"
IN,"Dec 11th, 2005","
$2.8M - $44.2M ",45,"23,947,440",Entertainment,"58,522",Zee TV,"16,747,275,895",18th
US,"Nov 19th, 2005","
$393.1K - $6.3M ",44,"24,042,363",Comedy,"1,033",Smosh,"8,141,436,785",96th
CA,"Sep 15th, 2011","
$382.4K - $6.1M ",43,"24,216,790",Games,938,VanossGaming,"10,499,271,246",61st
US,"Sep 23rd, 2012","
$500.4K - $8M ",40,"24,986,605",Music,"1,580",Trap Nation,"8,686,864,149",85th
ES,"Mar 2nd, 2008","
$385.2K - $6.2M ",39,"25,811,823",Games,"5,017",VEGETTA777,"10,008,161,319",67th
EG,"Apr 7th, 2013","
$74.7K - $1.2M ",5000,"1,842,801",Music,21,Sherine,"298,469,152","8,877th"
MX,"Jan 25th, 2013","
$1.2K - $19.8K ",4999,"1,838,100",Entertainment,21,Dhasia Wezka,"41,719,804","68,369th"
US,"Aug 14th, 2006","
$932 - $14.9K ",4998,"1,838,296",Games,28,Scott Cawthon,"99,857,770","28,348th"
BR,"Sep 27th, 2006","
$52.6K - $841.9K ",4997,"1,840,367",Music,254,Fernandinho Ministerio Faz Chover,"491,169,077","5,001st"
US,"Feb 28th, 2011","
$88.6K - $1.4M ",4996,"1,840,647",Film,784,MelodyAflam - ميلودي أفلام,"542,460,185","4,449th"
,"Jan 2nd, 2017","
$148.7K - $2.4M ",4995,"1,841,293",Film,253,Super Siah,"540,921,183","4,473rd"
MX,"Jun 7th, 2015","
$28K - $447.9K  ",4994,"1,841,770",Entertainment,151,Homosapiens,"208,210,661","13,069th"
PR,"Mar 15th, 2013","
$17.9K - $287K ",4993,"1,839,810",Music,62,De La Ghetto,"506,060,902","4,828th"
FR,"Nov 7th, 2011","
$22.5K - $359.6K ",4992,"1,840,374",Music,38,Sofiane Officiel,"504,006,541","4,844th"
US,"Jan 4th, 2016","
$177.5K - $2.8M ",4991,"1,845,975",Entertainment,622,Eğlence Zamanı,"668,253,971","3,472nd"
US,"Dec 9th, 2013","
$2.8K - $44.6K ",4990,"1,839,875",Entertainment,73,Jack & Jack,"179,666,619","15,321st"
RU,"Mar 16th, 2013","
$10.7K - $171.8K ",4988,"1,842,335",Entertainment,183,Artem K,"183,958,479","14,939th"
KR,"May 27th, 2014","
$128.5K - $2.1M ",4987,"1,842,994",Entertainment,"11,817",TV-People,"1,819,924,167",983rd
JP,"Aug 13th, 2014","
$337K - $5.4M ",4986,"1,857,719",Entertainment,"2,053",タキロン Takilong Kids' Toys,"834,778,719","2,653rd"
US,"Mar 27th, 2008","
$50.1K - $802.3K ",4985,"1,842,436",Music,"1,113",Strange Music Inc,"1,068,203,637","1,933rd"
ES,"Aug 24th, 2014","
$13.2K - $211K ",4984,"1,844,244",Games,260,Sparta356,"80,627,985","35,474th"
ES,"Oct 1st, 2012","
$16.7K - $267.9K ",4981,"1,842,618",People,"4,568",PokeR988TV,"492,327,513","4,987th"
BR,"Feb 5th, 2012","
$6.9K - $110.5K ",4979,"1,843,129",Entertainment,133,Gabriel Bartz,"93,328,791","30,486th"
BR,"Apr 19th, 2014","
$23.7K - $379.4K ",4978,"1,845,402",People,48,Victor Gabriel,"169,908,909","16,302nd"
KR,"Aug 1st, 2012","
$42.9K - $686K ",4977,"1,845,756",Music,"1,201",United CUBE (CUBE Entertainment Official…,"453,490,631","5,482nd"
ES,"May 24th, 2016","
$1.2K - $19.3K ",4976,"1,844,605",Entertainment,65,Doh Motion,"73,557,217","38,854th"
,"Oct 15th, 2017","
$8.2K - $131.7K ",4975,"1,846,405",People,50,Nathan Pereira,"32,409,581","87,863rd"
BR,"May 20th, 2015","
$117.8K - $1.9M ",4974,"1,847,168",Music,197,FUNK EXPLODE,"375,002,079","6,864th"
FR,"Jan 8th, 2011","
$3.8K - $60.3K ",4973,"1,845,251",Entertainment,96,MademoiselleGloria,"122,014,079","23,135th"
,"May 18th, 2016","
$25.6K - $409.4K ",4972,"1,848,315",People,554,حواء Tv,"175,185,692","15,487th"
US,"Jun 30th, 2010","
$21.2K - $339.2K ",4971,"1,847,238",Howto,261,Haley Pham,"104,499,352","27,044th"
ID,"Aug 30th, 2017","
$69.7K - $1.1M ",4967,"1,860,692",,63,jurnalrisa,"124,955,645","22,711th"
IN,"Nov 7th, 2015","
$15K - $240.5K ",4966,"1,851,775",Education,288,Learnex - English lessons through Hindi,"71,429,433","40,374th"
BR,"Jul 7th, 2014","
$55.8K - $892.1K ",4965,"1,850,712",Music,39,IZA,"358,561,883","7,238th"
MY,"Oct 9th, 2010","
$74.5K - $1.2M ",4964,"1,849,747",Entertainment,"9,367",Astro Gempak,"1,116,017,489","1,830th"
